feature,iv,n_bins,keep
EXT_SOURCE_MEAN,0.607028,10,True
EXT_SOURCE_2_3,0.394861,8,True
EXT_SOURCE_1_2,0.151918,4,True
EMPLOYED_EXT2_CROSS,0.118213,6,True
BUREAU_DAYS_CREDIT_MEAN,0.114876,8,True
BUREAU_UTIL_MAX,0.094849,5,True
DAYS_BIRTH,0.084175,10,True
CREDIT_GOODS_RATIO,0.073248,6,True
BUREAU_DAYS_CREDIT_MAX,0.0728,9,True
INST_PAYMENT_RATIO_MEAN,0.047966,7,True
DAYS_LAST_PHONE_CHANGE,0.04642,7,True
PREV_DAYS_DECISION_MEAN,0.044245,8,True
INST_RECENT_PAY_RATIO_6M,0.043731,5,True
CREDIT_TERM,0.03917,3,True
DAYS_ID_PUBLISH,0.038443,10,True
INST_PAYMENT_RATIO_MIN,0.032556,5,True
REGION_POPULATION_RELATIVE,0.030076,6,True
DAYS_REGISTRATION,0.02681,7,True
BUREAU_CREDIT_SUM_MEAN,0.023572,4,True
BUREAU_CREDIT_SUM_MAX,0.020755,3,True
POS_COUNT,0.020598,6,True
PREV_DOWN_PAY_RATIO,0.017554,5,False
PREV_CNT_PAYMENT_MEAN,0.015688,6,False
AMT_ANNUITY,0.013058,3,False
POS_PROGRESS_MEAN,0.010786,4,False
PREV_ANNUITY_MEAN,0.010449,7,False
INST_DBD_MEAN,0.008474,6,False
ANNUITY_INCOME_RATIO,0.005408,8,False
INST_COUNT,0.005104,6,False
CREDIT_INCOME_RATIO,0.003509,4,False
PREV_CREDIT_MAX,0.000374,2,False
PREV_CREDIT_APP_RATIO,0.000244,3,False
