feature,importance
CREDIT_TERM,561.0
EXT_SOURCE_MEAN,357.6
POS_PROGRESS_MEAN,304.2
AMT_ANNUITY,270.0
PREV_CNT_PAYMENT_MEAN,263.8
EXT_SOURCE_2,260.8
CREDIT_GOODS_RATIO,259.8
PREV_DAYS_DECISION_MEAN,248.0
DAYS_BIRTH,247.8
EXT_SOURCE_3,245.2
DAYS_LAST_PHONE_CHANGE,244.8
EXT_SOURCE_2_3,243.6
BUREAU_DAYS_CREDIT_MEAN,228.8
AGE_YEARS,227.2
ANNUITY_INCOME_RATIO,215.6
PREV_ANNUITY_MEAN,214.6
BUREAU_CREDIT_SUM_MAX,211.4
POS_COUNT,209.8
BUREAU_UTIL_MAX,209.6
REGION_POPULATION_RELATIVE,206.2
INST_RECENT_PAY_RATIO_6M,192.4
EXT_SOURCE_2_AGE,189.6
AMT_CREDIT,188.0
INST_COUNT,184.6
AMT_GOODS_PRICE,183.0
PREV_CREDIT_MAX,182.8
INST_PAYMENT_RATIO_MIN,180.4
BUREAU_CREDIT_SUM_MEAN,179.0
CREDIT_INCOME_RATIO,177.4
INST_PAYMENT_RATIO_MEAN,176.4
PREV_CREDIT_APP_RATIO,176.2
BUREAU_DAYS_CREDIT_MAX,173.8
DAYS_REGISTRATION,173.4
PREV_DOWN_PAY_RATIO,172.8
DAYS_ID_PUBLISH,172.4
INST_DBD_MEAN,170.4
EXT_SOURCE_1,167.2
EMPLOYED_EXT2_CROSS,160.4
EXT_SOURCE_1_2,153.6
EXT_SOURCE_STD,152.8
DAYS_EMPLOYED,152.0
EMPLOYED_TO_AGE_RATIO,146.0
BUREAU_MAX_OVERDUE,145.8
INCOME_PER_PERSON,143.8
BUREAU_UTIL_MEAN,142.4
DAYS_ID_PUBLISH_YEARS,139.4
DAYS_REGISTRATION_YEARS,138.8
PREV_APP_MEAN,138.0
EXT_SOURCE_1_3,138.0
ORGANIZATION_TYPE,134.8
INST_LATE_RATE,131.8
EXT_SOURCE_PROD,131.0
AMT_INCOME_TOTAL,112.2
INST_DPD_MEAN,111.2
BUREAU_DEBT_INCOME_RATIO,108.6
OWN_CAR_AGE,104.6
REFUSED_RATE_CREDIT_CROSS,103.2
BUREAU_DEBT_MEAN,102.8
OCCUPATION_TYPE,100.8
