bin_label,count,bad,good,bad_rate,bad_pct,good_pct,woe,iv,feature,is_cat
"(-inf, 22.009]",184507,17033,167474,0.09231628068311772,0.6861291816881835,0.5924389739163349,-0.14681805140120333,0.01375541374043668,CREDIT_TERM,False
"(22.009, 34.062]",93194,6063,87131,0.06505783634139536,0.2442448289057622,0.30822660438330096,0.23266412159370695,0.014886263589487332,CREDIT_TERM,False
"(34.062, inf]",29810,1729,28081,0.058000670915800065,0.06966627056856861,0.09933795918800509,0.35481148809784907,0.010527855993438268,CREDIT_TERM,False
"(-inf, 0.303]",30752,7033,23719,0.22870057232049948,0.2833175565446819,0.08390743809838815,-1.21685411260763,0.24265302272694717,EXT_SOURCE_MEAN,False
"(0.303, 0.384]",30751,4470,26281,0.14536112646743196,0.18007693702040242,0.09297048143438048,-0.6611021486214812,0.05758626494672073,EXT_SOURCE_MEAN,False
"(0.384, 0.439]",30751,3235,27516,0.10519983089980814,0.13032970131517996,0.09733927867089515,-0.2918648098120507,0.009628743430693358,EXT_SOURCE_MEAN,False
"(0.439, 0.484]",30751,2501,28250,0.0813306884328965,0.10076332802964694,0.09993579459931762,-0.00824655443661626,6.82429948133052e-06,EXT_SOURCE_MEAN,False
"(0.484, 0.524]",30751,1978,28773,0.0643231114435303,0.0796962800346418,0.10178590063550966,0.24464868378066235,0.005404196605216525,EXT_SOURCE_MEAN,False
"(0.524, 0.564]",30751,1654,29097,0.053786868719716434,0.06664518337999234,0.10293204663116208,0.43468625241310443,0.015773400598477774,EXT_SOURCE_MEAN,False
"(0.564, 0.602]",30751,1281,29470,0.04165718188026406,0.051620309762139736,0.10425152952121873,0.7028913371488414,0.03699402843223356,EXT_SOURCE_MEAN,False
"(0.602, 0.644]",30751,1146,29605,0.037267080745341616,0.046182352822702465,0.10472909035274058,0.8187791725229525,0.0479368493087631,EXT_SOURCE_MEAN,False
"(0.644, 0.692]",30751,900,29851,0.029267340899482942,0.03627318684417232,0.1055993123124026,1.0685730451571065,0.07408002900053046,EXT_SOURCE_MEAN,False
"(0.692, inf]",30751,627,30124,0.020389580826639785,0.025276429477754728,0.106565046438369,1.4388832430975433,0.11696482879920264,EXT_SOURCE_MEAN,False
"(-inf, 0.385]",61546,5758,55788,0.09355603938517532,0.2319590743388854,0.19735112925449216,-0.16157642821100388,0.0055918281544588295,POS_PROGRESS_MEAN,False
"(0.385, 0.431]",30708,2772,27936,0.09026963657678781,0.11167952307103583,0.09882502348007421,-0.12228252173403004,0.0015718806256118443,POS_PROGRESS_MEAN,False
"(0.431, 0.465]",30837,2449,28388,0.0794175827739404,0.09866870757890073,0.10042396789376216,0.017633052445722892,3.09505971878478e-05,POS_PROGRESS_MEAN,False
"(0.465, inf]",184420,13846,170574,0.07507862487799588,0.5577531167549495,0.6034051856031328,0.0786724992777439,0.003591562353486215,POS_PROGRESS_MEAN,False
"(-inf, 37516.5]",246027,20703,225324,0.08414930068651001,0.8339610481158486,0.7970826339425476,-0.04522834172248002,0.001667949518413206,AMT_ANNUITY,False
"(37516.5, 45954.0]",30808,2348,28460,0.07621397039729941,0.09460031016495137,0.10067866700390715,0.062273175498325915,0.0003785185821737433,AMT_ANNUITY,False
"(45954.0, inf]",30676,1774,28902,0.05783022558351806,0.07147892288171437,0.10224223654118608,0.35794224442156536,0.011011489537115905,AMT_ANNUITY,False
"(-inf, 5.333]",31535,2344,29191,0.07433010940225147,0.09443918551489396,0.10326457046940692,0.08933825241832831,0.0007884444687551958,PREV_CNT_PAYMENT_MEAN,False
"(5.333, 10.4]",91680,6826,84854,0.07445462478184992,0.2749793559042114,0.3001717450249658,0.08765876885714845,0.00220833381489555,PREV_CNT_PAYMENT_MEAN,False
"(10.4, 16.0]",92590,7173,85417,0.07747056917593692,0.28895691929669093,0.30216335056679394,0.044690158236810766,0.0005901975032044695,PREV_CNT_PAYMENT_MEAN,False
