feature,coef_mean,coef_std,coef_min,coef_max,coef_fold1,coef_fold2,coef_fold3,coef_fold4,coef_fold5,iv,direction_ok,direction,coef_cv
EXT_SOURCE_MEAN_WOE,-0.460861,0.008844,-0.476907,-0.450468,-0.457439,-0.450468,-0.457359,-0.462129,-0.476907,0.607028,True,✓ 负（预期）,0.0192
EXT_SOURCE_2_3_WOE,-0.154583,0.006285,-0.160809,-0.143225,-0.15967,-0.153214,-0.160809,-0.155997,-0.143225,0.394861,True,✓ 负（预期）,0.0407
EXT_SOURCE_1_2_WOE,-0.144936,0.005649,-0.152293,-0.135004,-0.152293,-0.147473,-0.144533,-0.135004,-0.145378,0.151918,True,✓ 负（预期）,0.039
EMPLOYED_EXT2_CROSS_WOE,-0.095731,0.003877,-0.100556,-0.089485,-0.089485,-0.100556,-0.094997,-0.094571,-0.099046,0.118213,True,✓ 负（预期）,0.0405
BUREAU_DAYS_CREDIT_MEAN_WOE,-0.045261,0.003637,-0.049268,-0.040658,-0.04166,-0.049268,-0.040658,-0.049247,-0.04547,0.114876,True,✓ 负（预期）,0.0804
BUREAU_UTIL_MAX_WOE,-0.217125,0.004218,-0.221137,-0.209001,-0.21919,-0.217646,-0.218648,-0.209001,-0.221137,0.094849,True,✓ 负（预期）,0.0194
DAYS_BIRTH_WOE,-0.02988,0.004483,-0.03493,-0.023026,-0.034632,-0.029143,-0.03493,-0.023026,-0.027671,0.084175,True,✓ 负（预期）,0.15
CREDIT_GOODS_RATIO_WOE,-0.200966,0.001485,-0.202305,-0.198195,-0.202305,-0.200792,-0.202113,-0.201423,-0.198195,0.073248,True,✓ 负（预期）,0.0074
INST_PAYMENT_RATIO_MEAN_WOE,-0.158339,0.003426,-0.163575,-0.153917,-0.155324,-0.163575,-0.159743,-0.159137,-0.153917,0.047966,True,✓ 负（预期）,0.0216
DAYS_LAST_PHONE_CHANGE_WOE,0.007604,0.003927,0.00078,0.011829,0.00078,0.008647,0.006102,0.011829,0.010661,0.04642,False,✗ 正（异常）,0.5164
PREV_DAYS_DECISION_MEAN_WOE,-0.135418,0.000789,-0.136339,-0.134488,-0.136163,-0.134488,-0.135586,-0.136339,-0.134516,0.044245,True,✓ 负（预期）,0.0058
INST_RECENT_PAY_RATIO_6M_WOE,-0.154412,0.004486,-0.158405,-0.148561,-0.158405,-0.148561,-0.158021,-0.1493,-0.157773,0.043731,True,✓ 负（预期）,0.0291
CREDIT_TERM_WOE,-0.094419,0.00323,-0.097243,-0.088545,-0.097243,-0.093572,-0.0972,-0.095535,-0.088545,0.03917,True,✓ 负（预期）,0.0342
DAYS_ID_PUBLISH_WOE,-0.065275,0.002229,-0.067915,-0.062393,-0.06356,-0.064721,-0.067915,-0.067788,-0.062393,0.038443,True,✓ 负（预期）,0.0341
REGION_POPULATION_RELATIVE_WOE,-0.04881,0.002091,-0.051834,-0.046053,-0.046053,-0.051834,-0.047065,-0.048851,-0.050245,0.030076,True,✓ 负（预期）,0.0428
DAYS_REGISTRATION_WOE,-0.046914,0.001718,-0.049321,-0.0452,-0.049321,-0.045582,-0.0452,-0.045809,-0.048658,0.02681,True,✓ 负（预期）,0.0366
BUREAU_CREDIT_SUM_MEAN_WOE,-0.097483,0.002912,-0.101145,-0.093085,-0.095986,-0.101145,-0.100165,-0.093085,-0.097033,0.023572,True,✓ 负（预期）,0.0299
POS_COUNT_WOE,-0.016532,0.002986,-0.018799,-0.010771,-0.010771,-0.017807,-0.01868,-0.018799,-0.016604,0.020598,True,✓ 负（预期）,0.1806
_INTERCEPT,-0.357525,0.003851,-0.362233,-0.351605,,,,,,0.0,True,(截距),0.0
