score,TARGET,score_bin
723.14,0,"(719.884, 725.226]"
732.96,0,"(729.815, 733.84]"
721.49,0,"(719.884, 725.226]"
747.24,0,"(742.46, 747.821]"
740.0,0,"(738.213, 742.46]"
714.89,0,"(714.108, 719.884]"
736.64,0,"(733.84, 738.213]"
704.28,0,"(692.399, 706.339]"
712.37,0,"(706.339, 714.108]"
741.02,0,"(738.213, 742.46]"
723.43,1,"(719.884, 725.226]"
703.38,1,"(692.399, 706.339]"
707.56,0,"(706.339, 714.108]"
729.27,0,"(725.226, 729.815]"
709.55,0,"(706.339, 714.108]"
702.49,0,"(692.399, 706.339]"
755.69,0,"(747.821, 763.22]"
706.21,0,"(692.399, 706.339]"
723.82,0,"(719.884, 725.226]"
748.94,0,"(747.821, 763.22]"
712.92,0,"(706.339, 714.108]"
724.4,0,"(719.884, 725.226]"
711.22,0,"(706.339, 714.108]"
704.82,0,"(692.399, 706.339]"
703.23,1,"(692.399, 706.339]"
710.32,0,"(706.339, 714.108]"
710.1,1,"(706.339, 714.108]"
730.92,0,"(729.815, 733.84]"
719.63,0,"(714.108, 719.884]"
750.0,0,"(747.821, 763.22]"
716.26,0,"(714.108, 719.884]"
736.26,0,"(733.84, 738.213]"
720.19,0,"(719.884, 725.226]"
738.74,0,"(738.213, 742.46]"
714.69,0,"(714.108, 719.884]"
734.03,0,"(733.84, 738.213]"
716.86,0,"(714.108, 719.884]"
733.18,0,"(729.815, 733.84]"
732.8,0,"(729.815, 733.84]"
745.79,0,"(742.46, 747.821]"
747.77,1,"(742.46, 747.821]"
733.02,0,"(729.815, 733.84]"
702.39,0,"(692.399, 706.339]"
700.85,0,"(692.399, 706.339]"
741.38,0,"(738.213, 742.46]"
744.76,0,"(742.46, 747.821]"
726.57,0,"(725.226, 729.815]"
748.43,0,"(747.821, 763.22]"
747.98,0,"(747.821, 763.22]"
730.32,0,"(729.815, 733.84]"
705.49,0,"(692.399, 706.339]"
716.56,0,"(714.108, 719.884]"
720.28,0,"(719.884, 725.226]"
707.23,0,"(706.339, 714.108]"
721.35,0,"(719.884, 725.226]"
713.42,0,"(706.339, 714.108]"
731.45,0,"(729.815, 733.84]"
696.85,1,"(692.399, 706.339]"
750.97,0,"(747.821, 763.22]"
731.75,0,"(729.815, 733.84]"
715.72,0,"(714.108, 719.884]"
711.27,0,"(706.339, 714.108]"
740.28,0,"(738.213, 742.46]"
739.32,0,"(738.213, 742.46]"
726.3,0,"(725.226, 729.815]"
739.13,0,"(738.213, 742.46]"
745.02,0,"(742.46, 747.821]"
718.13,0,"(714.108, 719.884]"
725.48,0,"(725.226, 729.815]"
706.58,0,"(706.339, 714.108]"
735.7,0,"(733.84, 738.213]"
709.81,0,"(706.339, 714.108]"
697.08,1,"(692.399, 706.339]"
756.49,0,"(747.821, 763.22]"
730.17,0,"(729.815, 733.84]"
728.72,0,"(725.226, 729.815]"
741.14,0,"(738.213, 742.46]"
750.35,0,"(747.821, 763.22]"
748.14,0,"(747.821, 763.22]"
747.2,0,"(742.46, 747.821]"
750.72,0,"(747.821, 763.22]"
753.91,0,"(747.821, 763.22]"
747.26,0,"(742.46, 747.821]"
730.92,1,"(729.815, 733.84]"
715.36,0,"(714.108, 719.884]"
730.59,0,"(729.815, 733.84]"
750.68,0,"(747.821, 763.22]"
701.42,1,"(692.399, 706.339]"
720.1,0,"(719.884, 725.226]"
743.71,0,"(742.46, 747.821]"
728.71,1,"(725.226, 729.815]"
742.11,0,"(738.213, 742.46]"
753.46,0,"(747.821, 763.22]"
728.89,1,"(725.226, 729.815]"
700.0,1,"(692.399, 706.339]"
748.33,0,"(747.821, 763.22]"
729.18,0,"(725.226, 729.815]"
734.46,0,"(733.84, 738.213]"
753.62,0,"(747.821, 763.22]"
739.86,0,"(738.213, 742.46]"
697.12,0,"(692.399, 706.339]"
