feature,bin_label,woe,coef,score,count,bad_rate,is_nan_bin
EXT_SOURCE_MEAN,"(-inf, 0.303]",-1.2169,-0.460861,24.0,30752,0.2287,False
EXT_SOURCE_MEAN,"(0.303, 0.384]",-0.6611,-0.460861,31.39,30751,0.1454,False
EXT_SOURCE_MEAN,"(0.384, 0.439]",-0.2919,-0.460861,36.3,30751,0.1052,False
EXT_SOURCE_MEAN,"(0.439, 0.484]",-0.0082,-0.460861,40.07,30751,0.0813,False
EXT_SOURCE_MEAN,"(0.484, 0.524]",0.2446,-0.460861,43.43,30751,0.0643,False
EXT_SOURCE_MEAN,"(0.524, 0.564]",0.4347,-0.460861,45.96,30751,0.0538,False
EXT_SOURCE_MEAN,"(0.564, 0.602]",0.7029,-0.460861,49.52,30751,0.0417,False
EXT_SOURCE_MEAN,"(0.602, 0.644]",0.8188,-0.460861,51.07,30751,0.0373,False
EXT_SOURCE_MEAN,"(0.644, 0.692]",1.0686,-0.460861,54.39,30751,0.0293,False
EXT_SOURCE_MEAN,"(0.692, inf]",1.4389,-0.460861,59.31,30751,0.0204,False
EXT_SOURCE_2_3,"(-inf, 0.0849]",-0.5555,-0.154583,37.7,92254,0.1327,False
EXT_SOURCE_2_3,"(0.0849, 0.148]",-0.433,-0.154583,38.25,30751,0.1192,False
EXT_SOURCE_2_3,"(0.148, 0.207]",-0.0543,-0.154583,39.93,30751,0.0848,False
EXT_SOURCE_2_3,"(0.207, 0.264]",0.2539,-0.154583,41.31,30751,0.0638,False
EXT_SOURCE_2_3,"(0.264, 0.322]",0.4717,-0.154583,42.28,30751,0.0519,False
EXT_SOURCE_2_3,"(0.322, 0.383]",0.7875,-0.154583,43.69,30751,0.0384,False
EXT_SOURCE_2_3,"(0.383, 0.455]",1.0271,-0.154583,44.76,30751,0.0305,False
EXT_SOURCE_2_3,"(0.455, inf]",1.4373,-0.154583,46.59,30751,0.0204,False
EXT_SOURCE_1_2,"(-inf, 0.169]",-0.1828,-0.144936,39.41,215258,0.0954,False
EXT_SOURCE_1_2,"(0.169, 0.277]",0.1588,-0.144936,40.84,30751,0.0697,False
EXT_SOURCE_1_2,"(0.277, 0.404]",0.6071,-0.144936,42.72,30751,0.0457,False
EXT_SOURCE_1_2,"(0.404, inf]",1.2585,-0.144936,45.44,30751,0.0243,False
EMPLOYED_EXT2_CROSS,"(-inf, 1.502]",-0.2425,-0.095731,39.51,153756,0.1007,False
EMPLOYED_EXT2_CROSS,"(1.502, 2.237]",-0.0935,-0.095731,39.92,30751,0.0879,False
EMPLOYED_EXT2_CROSS,"(2.237, 3.253]",0.1252,-0.095731,40.52,30751,0.0719,False
EMPLOYED_EXT2_CROSS,"(3.253, 4.767]",0.3275,-0.095731,41.08,30751,0.0595,False
EMPLOYED_EXT2_CROSS,"(4.767, 7.467]",0.5567,-0.095731,41.72,30751,0.0479,False
EMPLOYED_EXT2_CROSS,"(7.467, inf]",0.8325,-0.095731,42.48,30751,0.0368,False
BUREAU_DAYS_CREDIT_MEAN,"(-inf, 542.0]",-0.3785,-0.045261,39.68,92301,0.1136,False
BUREAU_DAYS_CREDIT_MEAN,"(542.0, 747.444]",-0.1722,-0.045261,39.95,30704,0.0945,False
BUREAU_DAYS_CREDIT_MEAN,"(747.444, 927.6]",0.001,-0.045261,40.18,30752,0.0806,False
BUREAU_DAYS_CREDIT_MEAN,"(927.6, 1098.5]",0.1498,-0.045261,40.37,30751,0.0703,False
BUREAU_DAYS_CREDIT_MEAN,"(1098.5, 1270.0]",0.264,-0.045261,40.52,30776,0.0632,False
BUREAU_DAYS_CREDIT_MEAN,"(1270.0, 1464.1]",0.3814,-0.045261,40.68,30725,0.0566,False
BUREAU_DAYS_CREDIT_MEAN,"(1464.1, 1746.167]",0.4871,-0.045261,40.81,30753,0.0512,False
BUREAU_DAYS_CREDIT_MEAN,"(1746.167, inf]",0.5113,-0.045261,40.85,30749,0.05,False
BUREAU_UTIL_MAX,"(-inf, 0.787]",0.2185,-0.217125,41.55,184507,0.0659,False
BUREAU_UTIL_MAX,"(0.787, 0.899]",0.1608,-0.217125,41.18,30751,0.0696,False
BUREAU_UTIL_MAX,"(0.899, 0.956]",-0.1112,-0.217125,39.48,30751,0.0894,False
BUREAU_UTIL_MAX,"(0.956, 1.0]",-0.3761,-0.217125,37.82,30751,0.1134,False
BUREAU_UTIL_MAX,"(1.0, inf]",-0.6124,-0.217125,36.34,30751,0.1394,False
DAYS_BIRTH,"(-inf, -22181.0]",0.5323,-0.02988,40.64,30757,0.049,False
DAYS_BIRTH,"(-22181.0, -20474.0]",0.426,-0.02988,40.54,30756,0.0542,False
DAYS_BIRTH,"(-20474.0, -18885.0]",0.2601,-0.02988,40.4,30757,0.0634,False
DAYS_BIRTH,"(-18885.0, -17220.0]",0.1331,-0.02988,40.29,30741,0.0714,False
DAYS_BIRTH,"(-17220.0, -15750.0]",0.0382,-0.02988,40.21,30761,0.0779,False
DAYS_BIRTH,"(-15750.0, -14416.0]",0.0214,-0.02988,40.2,30756,0.0791,False
DAYS_BIRTH,"(-14416.0, -13140.0]",-0.1007,-0.02988,40.09,30740,0.0885,False
DAYS_BIRTH,"(-13140.0, -11694.0]",-0.2133,-0.02988,39.99,30755,0.098,False
DAYS_BIRTH,"(-11694.0, -10284.0]",-0.3405,-0.02988,39.88,30764,0.1099,False
DAYS_BIRTH,"(-10284.0, inf]",-0.3998,-0.02988,39.83,30724,0.1158,False
CREDIT_GOODS_RATIO,"(-inf, 1.079]",0.2311,-0.200966,41.52,123174,0.0652,False
CREDIT_GOODS_RATIO,"(1.079, 1.145]",0.2012,-0.200966,41.34,61419,0.067,False
CREDIT_GOODS_RATIO,"(1.145, 1.166]",-0.0718,-0.200966,39.76,30670,0.0862,False
CREDIT_GOODS_RATIO,"(1.166, 1.211]",-0.1154,-0.200966,39.51,31203,0.0897,False
CREDIT_GOODS_RATIO,"(1.211, 1.277]",-0.3568,-0.200966,38.11,30304,0.1115,False
CREDIT_GOODS_RATIO,"(1.277, inf]",-0.493,-0.200966,37.32,30741,0.1257,False
INST_PAYMENT_RATIO_MEAN,"(-inf, 0.90469]",-0.2541,-0.158339,39.02,61503,0.1017,False
INST_PAYMENT_RATIO_MEAN,"(0.90469, 0.95401]",-0.2127,-0.158339,39.21,30751,0.098,False
INST_PAYMENT_RATIO_MEAN,"(0.95401, 0.99975]",-0.0795,-0.158339,39.81,61502,0.0868,False
INST_PAYMENT_RATIO_MEAN,"(0.99975, 0.99985]",0.0208,-0.158339,40.27,30751,0.0792,False
INST_PAYMENT_RATIO_MEAN,"(0.99985, 0.9999]",0.1345,-0.158339,40.79,30751,0.0713,False
INST_PAYMENT_RATIO_MEAN,"(0.9999, 0.99993]",0.2484,-0.158339,41.31,30751,0.0641,False
INST_PAYMENT_RATIO_MEAN,"(0.99993, inf]",0.3396,-0.158339,41.73,61502,0.0588,False
DAYS_LAST_PHONE_CHANGE,"(-inf, -2158.0]",0.4321,0.007604,40.08,30805,0.0539,False
DAYS_LAST_PHONE_CHANGE,"(-2158.0, -1720.0]",0.3032,0.007604,40.11,30746,0.0609,False
DAYS_LAST_PHONE_CHANGE,"(-1720.0, -1426.0]",0.2261,0.007604,40.13,30743,0.0654,False
DAYS_LAST_PHONE_CHANGE,"(-1426.0, -1060.0]",0.1292,0.007604,40.15,30726,0.0716,False
DAYS_LAST_PHONE_CHANGE,"(-1060.0, -757.0]",-0.0234,0.007604,40.18,30798,0.0825,False
DAYS_LAST_PHONE_CHANGE,"(-757.0, -364.0]",-0.1521,0.007604,40.21,61451,0.0928,False
DAYS_LAST_PHONE_CHANGE,"(-364.0, inf]",-0.188,0.007604,40.22,92242,0.0958,False
PREV_DAYS_DECISION_MEAN,"(-inf, -1100.4]",0.2334,-0.135418,41.09,92257,0.065,False
PREV_DAYS_DECISION_MEAN,"(-1100.4, -999.0]",0.2163,-0.135418,41.02,31974,0.0661,False
PREV_DAYS_DECISION_MEAN,"(-999.0, -830.8]",0.0971,-0.135418,40.56,29526,0.0738,False
PREV_DAYS_DECISION_MEAN,"(-830.8, -681.667]",0.0028,-0.135418,40.19,30753,0.0805,False
PREV_DAYS_DECISION_MEAN,"(-681.667, -545.0]",-0.0831,-0.135418,39.85,30838,0.0871,False
PREV_DAYS_DECISION_MEAN,"(-545.0, -422.0]",-0.1584,-0.135418,39.56,30734,0.0933,False
PREV_DAYS_DECISION_MEAN,"(-422.0, -304.333]",-0.2579,-0.135418,39.17,30682,0.102,False
PREV_DAYS_DECISION_MEAN,"(-304.333, inf]",-0.3398,-0.135418,38.85,30747,0.1098,False
INST_RECENT_PAY_RATIO_6M,"(-inf, 0.99953]",-0.1396,-0.154412,39.56,184507,0.0917,False
INST_RECENT_PAY_RATIO_6M,"(0.99953, 0.99988]",0.0164,-0.154412,40.25,30751,0.0795,False
INST_RECENT_PAY_RATIO_6M,"(0.99988, 0.99993]",0.2227,-0.154412,41.17,30751,0.0657,False
INST_RECENT_PAY_RATIO_6M,"(0.99993, 0.99996]",0.3422,-0.154412,41.7,30752,0.0587,False
INST_RECENT_PAY_RATIO_6M,"(0.99996, inf]",0.4475,-0.154412,42.17,30750,0.0531,False
CREDIT_TERM,"(-inf, 22.009]",-0.1468,-0.094419,39.78,184507,0.0923,False
CREDIT_TERM,"(22.009, 34.062]",0.2327,-0.094419,40.81,93194,0.0651,False
CREDIT_TERM,"(34.062, inf]",0.3548,-0.094419,41.14,29810,0.058,False
DAYS_ID_PUBLISH,"(-inf, -4724.0]",0.3283,-0.065275,40.8,30757,0.0595,False
DAYS_ID_PUBLISH,"(-4724.0, -4430.0]",0.2896,-0.065275,40.72,30841,0.0617,False
DAYS_ID_PUBLISH,"(-4430.0, -4172.0]",0.2283,-0.065275,40.61,30744,0.0653,False
DAYS_ID_PUBLISH,"(-4172.0, -3881.0]",0.0542,-0.065275,40.28,30670,0.0768,False
DAYS_ID_PUBLISH,"(-3881.0, -3254.0]",0.0397,-0.065275,40.25,30790,0.0778,False
DAYS_ID_PUBLISH,"(-3254.0, -2654.0]",-0.038,-0.065275,40.11,30761,0.0836,False
DAYS_ID_PUBLISH,"(-2654.0, -2044.0]",-0.115,-0.065275,39.96,30712,0.0897,False
